date,INDPRO,200dma,indpro_signal
1991-05-06,61.3572,61.82873750000017,0.0
1991-05-07,61.3572,61.82084700000018,0.0
1991-05-08,61.3572,61.81177300000017,0.0
1991-05-09,61.3572,61.802699000000175,0.0
1991-05-10,61.3572,61.793625000000176,0.0
1991-05-13,61.3572,61.78455100000017,0.0
1991-05-14,61.3572,61.77547700000017,0.0
1991-05-15,61.3572,61.766403000000174,0.0
1991-05-16,61.3572,61.75732900000017,0.0
1991-05-17,61.3572,61.74825500000017,0.0
1991-05-20,61.3572,61.73918100000017,0.0
1991-05-21,61.3572,61.730107000000174,0.0
1991-05-22,61.3572,61.72103300000017,0.0
1991-05-23,61.3572,61.71195900000017,0.0
1991-05-24,61.3572,61.70288500000017,0.0
1991-05-27,61.3572,61.69381100000017,0.0
1991-05-28,61.3572,61.68473700000017,0.0
1991-05-29,61.3572,61.67566300000017,0.0
1991-05-30,61.3572,61.666589000000165,0.0
1991-05-31,61.3572,61.65751500000017,0.0
1991-06-03,61.8396,61.65085300000016,1.0
1991-06-04,61.8396,61.644191000000156,1.0
1991-06-05,61.8396,61.63752900000015,1.0
1991-06-06,61.8396,61.630867000000144,1.0
1991-06-07,61.8396,61.62420500000014,1.0
1991-06-10,61.8396,61.61748700000014,1.0
1991-06-11,61.8396,61.61076900000014,1.0
1991-06-12,61.8396,61.60405100000013,1.0
1991-06-13,61.8396,61.597333000000134,1.0
1991-06-14,61.8396,61.590615000000135,1.0
1991-06-17,61.8396,61.583897000000135,1.0
1991-06-18,61.8396,61.577179000000136,1.0
1991-06-19,61.8396,61.57046100000013,1.0
1991-06-20,61.8396,61.56374300000013,1.0
1991-06-21,61.8396,61.55702500000013,1.0
1991-06-24,61.8396,61.55030700000013,1.0
1991-06-25,61.8396,61.54358900000013,1.0
1991-06-26,61.8396,61.536871000000126,1.0
1991-06-27,61.8396,61.530153000000126,1.0
1991-06-28,61.8396,61.52343500000013,1.0
1991-07-01,62.0065,61.517551500000124,1.0
1991-07-02,62.0065,61.51166800000013,1.0
1991-07-03,62.0065,61.505784500000125,1.0
1991-07-04,62.0065,61.49990100000013,1.0
1991-07-05,62.0065,61.494017500000126,1.0
1991-07-08,62.0065,61.49010700000012,1.0
1991-07-09,62.0065,61.486196500000126,1.0
1991-07-10,62.0065,61.48228600000012,1.0
1991-07-11,62.0065,61.47837550000012,1.0
1991-07-12,62.0065,61.474465000000116,1.0
1991-07-15,62.0065,61.47055450000012,1.0
1991-07-16,62.0065,61.466644000000116,1.0
1991-07-17,62.0065,61.46273350000011,1.0
1991-07-18,62.0065,61.45882300000011,1.0
1991-07-19,62.0065,61.45491250000011,1.0
1991-07-22,62.0065,61.45100200000011,1.0
1991-07-23,62.0065,61.447091500000106,1.0
1991-07-24,62.0065,61.4431810000001,1.0
1991-07-25,62.0065,61.439270500000106,1.0
1991-07-26,62.0065,61.4353600000001,1.0
1991-07-29,62.0065,61.4314495000001,1.0
1991-07-30,62.0065,61.427539000000095,1.0
1991-07-31,62.0065,61.42362850000009,1.0
1991-08-01,62.0141,61.4197560000001,1.0
1991-08-02,62.0141,61.4158835000001,1.0
1991-08-05,62.0141,61.4120110000001,1.0
1991-08-06,62.0141,61.408138500000106,1.0
1991-08-07,62.0141,61.404266000000106,1.0
1991-08-08,62.0141,61.40425950000011,1.0
1991-08-09,62.0141,61.40425300000011,1.0
1991-08-12,62.0141,61.404246500000106,1.0
1991-08-13,62.0141,61.40424000000011,1.0
1991-08-14,62.0141,61.40423350000011,1.0
1991-08-15,62.0141,61.40422700000011,1.0
1991-08-16,62.0141,61.40422050000011,1.0
1991-08-19,62.0141,61.40421400000011,1.0
1991-08-20,62.0141,61.40420750000011,1.0
1991-08-21,62.0141,61.404201000000114,1.0
1991-08-22,62.0141,61.40419450000011,1.0
1991-08-23,62.0141,61.40418800000011,1.0
1991-08-26,62.0141,61.404181500000114,1.0
1991-08-27,62.0141,61.404175000000116,1.0
1991-08-28,62.0141,61.40416850000011,1.0
1991-08-29,62.0141,61.40416200000011,1.0
1991-08-30,62.0141,61.404155500000115,1.0
1991-09-02,62.5457,61.406807000000114,1.0
1991-09-03,62.5457,61.40945850000012,1.0
1991-09-04,62.5457,61.41211000000012,1.0
1991-09-05,62.5457,61.414761500000125,1.0
1991-09-06,62.5457,61.417413000000124,1.0
1991-09-09,62.5457,61.42218400000012,1.0
1991-09-10,62.5457,61.42695500000013,1.0
