date,21dma,200dma,hy_signal,hy_signal_cross,hy_signal_slope,slope,BAMLH0A0HYM2
2008-05-01,7.313333333333333,5.8591,1.0,0.0,1.0,-0.05671428571428571,6.81
2008-05-02,7.259047619047619,5.87375,1.0,0.0,1.0,-0.058792207792207805,6.64
2008-05-05,7.206190476190477,5.88635,1.0,0.0,1.0,-0.05954545454545454,6.65
2008-05-06,7.166190476190477,5.89845,1.0,0.0,1.0,-0.06135064935064936,6.7
2008-05-07,7.125238095238095,5.91085,1.0,0.0,1.0,-0.061233766233766224,6.72
2008-05-08,7.083333333333335,5.924049999999999,1.0,0.0,1.0,-0.05671428571428574,6.83
2008-05-09,7.045238095238095,5.93715,1.0,0.0,1.0,-0.05028571428571428,6.9
2008-05-12,7.0042857142857144,5.950749999999999,1.0,0.0,1.0,-0.04196103896103897,6.9
2008-05-13,6.957619047619047,5.963349999999999,1.0,0.0,1.0,-0.03462337662337663,6.76
2008-05-14,6.909999999999999,5.9752,1.0,0.0,1.0,-0.028727272727272726,6.65
2008-05-15,6.873333333333333,5.9876499999999995,1.0,0.0,1.0,-0.023727272727272722,6.69
2008-05-16,6.838571428571429,6.00115,1.0,0.0,1.0,-0.019935064935064927,6.63
2008-05-19,6.812380952380953,6.013950000000001,1.0,0.0,1.0,-0.018584415584415582,6.6
2008-05-20,6.790952380952381,6.02675,1.0,0.0,1.0,-0.01576623376623377,6.68
2008-05-21,6.770476190476191,6.03955,1.0,0.0,1.0,-0.013740259740259742,6.64
2008-05-22,6.748571428571428,6.051699999999999,1.0,0.0,1.0,-0.012090909090909093,6.59
2008-05-23,6.738095238095238,6.0638499999999995,1.0,0.0,1.0,-0.010272727272727275,6.7
2008-05-26,6.731428571428572,6.074400000000001,1.0,0.0,1.0,-0.009311688311688313,6.7
2008-05-27,6.725238095238096,6.0856,1.0,0.0,1.0,-0.007766233766233778,6.72
2008-05-28,6.713333333333333,6.09615,1.0,0.0,1.0,-0.007337662337662341,6.61
