None,date,close,21d_vol,200d_vol,market_vol_cross,21d,200d,market_cross
4919,2004-07-07,1118.33,0.006570058539289371,0.0073629849483230515,1.0,1132.925238095238,1100.3291,1.0
4918,2004-07-08,1109.11,0.005677820541958109,0.007384164616184565,1.0,1131.4342857142856,1100.6931499999998,1.0
4917,2004-07-09,1112.81,0.005736096076341626,0.007325117574676166,1.0,1130.0357142857142,1101.1431000000002,1.0
4916,2004-07-12,1114.35,0.005432727772990787,0.007314511550241892,1.0,1129.2271428571428,1101.5697,1.0
4915,2004-07-13,1115.14,0.00531055526890424,0.0071795931099652805,1.0,1128.2114285714285,1102.0985,1.0
4914,2004-07-14,1111.47,0.004934537792658455,0.007169506722644013,1.0,1127.5533333333333,1102.6395,1.0
4913,2004-07-15,1106.69,0.004759316190255293,0.007160803356436979,1.0,1126.347619047619,1103.1887000000002,1.0
4912,2004-07-16,1101.39,0.00479109874827561,0.007140709498630579,1.0,1124.8157142857142,1103.66275,1.0
4911,2004-07-19,1100.9,0.0047953673809287625,0.007097743229645562,1.0,1123.3323809523808,1104.1873999999998,1.0
4910,2004-07-20,1108.67,0.005066109957581022,0.006945762061779026,1.0,1122.077619047619,1104.63965,1.0
4909,2004-07-21,1093.88,0.005707467824652319,0.007013571438012942,1.0,1120.3433333333332,1105.00785,1.0
4908,2004-07-22,1096.84,0.005668768765866513,0.0069862325048299055,1.0,1118.5542857142857,1105.3428,1.0
4907,2004-07-23,1086.2,0.005439332036999988,0.0070163447779090955,1.0,1115.7990476190475,1105.60205,1.0
4906,2004-07-26,1084.07,0.005439078501301284,0.007010815315359618,1.0,1113.104761904762,1105.8261499999999,1.0
4905,2004-07-27,1094.83,0.006010232029830285,0.007033053954507215,1.0,1111.2190476190476,1106.1314,1.0
4904,2004-07-28,1095.42,0.006028188490063859,0.007025838817180339,1.0,1109.412857142857,1106.4148500000001,1.0
4903,2004-07-29,1100.43,0.006114518307284603,0.007032095338304496,1.0,1107.709523809524,1106.7267,1.0
4902,2004-07-30,1101.72,0.00601357438489356,0.00701622338642148,1.0,1105.8466666666668,1107.00855,0.0
4901,2004-08-02,1106.62,0.005796514573685253,0.00701761442454253,1.0,1104.7838095238094,1107.29425,0.0
