,date,EM,21d,200d,market_cross,EM_return,21d_vol,200d_vol,market_vol_cross,SP500,sp500_return,EM_v_sp500,50d_hit,200d_hit,EM_v_sp500_hit,index_x,DXY,21dma_dxy,200dma_dxy,dxy_signal,index_y,AUDCHF,21dma_audchf,200dma_audchf,audchf_signal,CRB CMDT,CRB RIND,commodity_tr,21d_cmdty,200d_cmdty,commodity_cross,technicals,volatility,currency,commodities,EM Regime Model,1M,3M
1537,2009-05-21,23.798,22.627761904761908,20.505460000000003,1.0,-0.018815073850530592,0.028110948079556115,0.0516540320061838,1.0,,,,,,,3753.0,80.558,83.43299999999999,83.582075,1.0,3753.0,0.851,0.8379333333333334,0.805966,1.0,354.88,381.26,368.07,359.2297619047619,357.707725,1.0,,1.0,1.0,1.0,,-0.031935456761072234,0.14076813177577963
1538,2009-05-22,23.904,22.78014285714286,20.46716,1.0,0.0044442654174451975,0.028056270329672103,0.0516340209740886,1.0,,,,,,,3754.0,79.958,83.16828571428572,83.59596499999999,1.0,3754.0,0.8495,0.8392285714285714,0.805461,1.0,356.06,382.5,369.28,360.0402380952381,357.27964999999995,1.0,,1.0,1.0,1.0,,-0.03003681392235613,0.15286144578313254
1539,2009-05-26,24.19,22.92747619047619,20.43571,1.0,0.011893515671529123,0.02795033906154223,0.051587257495928275,1.0,,,,,,,3756.0,80.131,82.67995238095239,83.62696,1.0,3756.0,0.8521,0.8418190476190477,0.8044294999999999,1.0,355.92,382.49,369.20500000000004,361.70500000000004,356.39599999999996,1.0,,1.0,1.0,1.0,,-0.020463001240181966,0.14427449359239342
1540,2009-05-27,23.911,23.095238095238095,20.402495000000002,1.0,-0.01160072052147116,0.026716805801076222,0.05159189866573794,1.0,,,,,,,3757.0,80.332,82.45014285714286,83.64383,1.0,3757.0,0.8481,0.8437714285714284,0.8038695,1.0,356.99,382.46,369.725,362.7754761904762,355.95115,1.0,,1.0,1.0,1.0,,0.02049266028187846,0.15507507005144072
1541,2009-05-28,24.649,23.301380952380953,20.374565,1.0,0.030397727614014387,0.027039093510949436,0.05163599095517549,1.0,,,,,,,3758.0,80.433,82.25771428571429,83.665015,1.0,3758.0,0.8498,0.8449095238095239,0.803336,1.0,357.2,381.55,369.375,363.7302380952381,355.47377500000005,1.0,,1.0,1.0,1.0,,-0.004827782060124131,0.11708385735729632
1542,2009-05-29,25.026,23.47457142857143,20.349785,1.0,0.015178952728384135,0.025323653895171716,0.05164597383221436,1.0,,,,,,,3759.0,79.348,82.00695238095238,83.67773,1.0,3759.0,0.8546,0.8461904761904764,0.8028495000000001,1.0,361.86,387.61,374.735,364.89785714285716,355.025225,1.0,,1.0,1.0,1.0,,-0.012546951170782417,0.09813793654599223
1543,2009-06-01,26.08,23.68861904761905,20.33031,1.0,0.0412534526155889,0.026376753507639756,0.051731922165606424,1.0,,,,,,,3760.0,79.171,81.751,83.68962000000002,1.0,3760.0,0.867,0.8479571428571427,0.802456,1.0,369.91,398.45,384.18,366.3745238095238,354.62582499999996,1.0,,1.0,1.0,1.0,,-0.062039877300613444,0.04823619631901854
1544,2009-06-02,25.703,23.869666666666667,20.306985,1.0,-0.014561020452361751,0.026832186356119402,0.05173192942172674,1.0,,,,,,,3761.0,78.404,81.48595238095238,83.695385,1.0,3761.0,0.8715,0.8497571428571428,0.8021079999999999,1.0,370.88,400.47,385.675,367.9316666666667,354.25155,1.0,,1.0,1.0,1.0,,-0.030891335641753948,0.04264093685561998
1545,2009-06-03,24.792,23.935285714285715,20.281480000000002,1.0,-0.036086696120643164,0.024802777531650454,0.05178133702886048,1.0,,,,,,,3762.0,79.5,81.26419047619048,83.70763,1.0,3762.0,0.8567,0.8505190476190476,0.8016785,1.0,366.66,397.92,382.29,369.33380952380946,353.85527500000006,1.0,,1.0,1.0,1.0,,-0.02282994514359482,0.06046305259761198
1546,2009-06-04,25.251,24.032761904761905,20.26079,1.0,0.0183447384121015,0.024873984874749802,0.051786542662774084,1.0,,,,,,,3763.0,79.414,81.05519047619048,83.718945,1.0,3763.0,0.8574,0.8510333333333332,0.8012279999999999,1.0,368.59,399.78,384.18499999999995,370.62,353.500875,1.0,,1.0,1.0,1.0,,-0.04269137855926508,0.05227515741950817
1547,2009-06-05,25.304,24.113809523809525,20.241600000000002,1.0,0.00209672710579896,0.024697095830163926,0.05178404865762964,1.0,,,,,,,3764.0,80.67,80.89942857142857,83.73539,1.0,3764.0,0.861,0.8514714285714285,0.800806,1.0,367.41,399.59,383.5,371.72333333333336,353.14972500000005,1.0,,1.0,1.0,1.0,,-0.06718305406259872,0.07109547897565616
