,date,BFCIUS,50dma,200dma,bfcius_signal
181,1995-09-12,0.773,0.9729400000000006,,
182,1995-09-13,0.829,0.9707000000000005,,
183,1995-09-14,0.791,0.9702800000000005,,
184,1995-09-15,0.965,0.9683200000000005,,
185,1995-09-18,0.915,0.9689800000000005,,
186,1995-09-19,0.755,0.9648000000000007,,
187,1995-09-20,0.727,0.9606200000000006,,
188,1995-09-21,0.834,0.9561600000000006,,
189,1995-09-22,0.69,0.9456400000000005,,
190,1995-09-25,0.731,0.9380000000000005,,
191,1995-09-26,0.808,0.9319000000000005,,
192,1995-09-27,0.753,0.9272400000000006,,
193,1995-09-28,0.723,0.9218200000000006,,
194,1995-09-29,0.627,0.9115800000000006,,
195,1995-10-02,0.547,0.9041400000000006,,
196,1995-10-03,0.715,0.8983600000000007,,
197,1995-10-04,0.594,0.8875800000000007,,
198,1995-10-05,0.537,0.8791600000000007,,
199,1995-10-06,0.624,0.8704400000000007,0.9258400000000006,0.0
200,1995-10-09,0.576,0.8607600000000006,0.9277350000000005,0.0
201,1995-10-10,0.573,0.8506000000000006,0.9300400000000006,0.0
202,1995-10-11,0.572,0.8411800000000007,0.9305400000000006,0.0
203,1995-10-12,0.578,0.8309000000000007,0.9301150000000006,0.0
204,1995-10-13,0.544,0.8205400000000007,0.9291050000000005,0.0
205,1995-10-16,0.515,0.8100800000000008,0.9273700000000005,0.0
206,1995-10-17,0.487,0.7992000000000009,0.9259650000000005,0.0
207,1995-10-18,0.502,0.7887200000000009,0.9253950000000004,0.0
208,1995-10-19,0.504,0.7782800000000007,0.9243100000000004,0.0
209,1995-10-20,0.582,0.7672000000000007,0.9237150000000004,0.0
210,1995-10-23,0.574,0.7586400000000006,0.9224350000000004,0.0
211,1995-10-24,0.491,0.7481600000000006,0.9201700000000005,0.0
212,1995-10-25,0.441,0.7367200000000007,0.9178300000000006,0.0
213,1995-10-26,0.402,0.7237200000000007,0.9159000000000005,0.0
214,1995-10-27,0.45,0.7124000000000008,0.9131050000000005,0.0
215,1995-10-30,0.522,0.7035000000000008,0.9106650000000005,0.0
216,1995-10-31,0.688,0.6955200000000008,0.9082500000000004,0.0
217,1995-11-01,0.635,0.6880600000000007,0.9061650000000004,0.0
218,1995-11-02,0.662,0.6850000000000007,0.9039500000000005,0.0
219,1995-11-03,0.785,0.6846200000000006,0.9028250000000005,0.0
220,1995-11-06,0.798,0.6852600000000006,0.9021450000000005,0.0
221,1995-11-07,0.831,0.6850600000000007,0.9011550000000006,0.0
222,1995-11-08,0.878,0.6867600000000007,0.8995450000000005,0.0
223,1995-11-09,0.903,0.6893200000000007,0.8985500000000005,0.0
224,1995-11-10,1.004,0.6934200000000007,0.8984150000000004,0.0
225,1995-11-13,0.994,0.6974800000000008,0.8974050000000005,0.0
226,1995-11-14,0.907,0.6994000000000007,0.8960800000000004,0.0
227,1995-11-15,0.986,0.7020400000000007,0.8958150000000005,0.0
228,1995-11-16,0.923,0.7024200000000006,0.8947850000000005,0.0
229,1995-11-17,0.881,0.7009600000000006,0.8929300000000004,0.0
230,1995-11-20,0.941,0.7013400000000007,0.8921650000000005,0.0
231,1995-11-21,0.977,0.7054200000000006,0.8918250000000006,0.0
232,1995-11-22,0.946,0.7077600000000005,0.8913800000000006,0.0
233,1995-11-23,0.921,0.7103600000000005,0.8913300000000005,0.0
234,1995-11-24,0.853,0.7081200000000005,0.8907550000000006,0.0
235,1995-11-27,0.892,0.7076600000000006,0.8904550000000007,0.0
236,1995-11-28,0.967,0.7119000000000005,0.8901750000000007,0.0
237,1995-11-29,0.851,0.7143800000000006,0.8898150000000007,0.0
238,1995-11-30,0.803,0.7137600000000005,0.8882250000000006,0.0
239,1995-12-01,0.811,0.7161800000000005,0.8870000000000006,0.0
240,1995-12-04,0.928,0.7201200000000004,0.8869750000000006,0.0
241,1995-12-05,0.92,0.7223600000000004,0.8862200000000006,0.0
242,1995-12-06,0.873,0.7247600000000004,0.8853500000000005,0.0
243,1995-12-07,0.943,0.7291600000000004,0.8849300000000007,0.0
244,1995-12-08,0.98,0.7362200000000003,0.8845200000000005,0.0
245,1995-12-11,0.982,0.7449200000000004,0.8844700000000006,0.0
246,1995-12-12,0.86,0.7478200000000003,0.8839300000000008,0.0
247,1995-12-13,0.899,0.7539200000000003,0.8837950000000008,0.0
248,1995-12-14,0.882,0.7608200000000003,0.8838250000000007,0.0
249,1995-12-15,0.734,0.7630200000000003,0.8827400000000009,0.0
250,1995-12-18,0.594,0.7633800000000002,0.8810650000000009,0.0
251,1995-12-19,0.411,0.7601400000000003,0.8777400000000009,0.0
252,1995-12-20,0.578,0.7602600000000003,0.8757150000000009,0.0
253,1995-12-21,0.369,0.7560800000000002,0.8723800000000008,0.0
254,1995-12-22,0.37,0.7526000000000002,0.8691000000000009,0.0
255,1995-12-25,0.354,0.7493800000000002,0.8657100000000009,0.0
256,1995-12-26,0.31,0.7458400000000002,0.8615300000000009,0.0
257,1995-12-27,0.313,0.7420600000000002,0.8580550000000008,0.0
258,1995-12-28,0.308,0.7381400000000002,0.8546250000000007,0.0
259,1995-12-29,0.472,0.7359400000000003,0.8524900000000009,0.0
260,1996-01-01,0.467,0.7338000000000002,0.8504150000000008,0.0
261,1996-01-02,0.58,0.7355800000000002,0.8483800000000009,0.0
262,1996-01-03,0.734,0.7414400000000002,0.8481750000000009,0.0
263,1996-01-04,0.701,0.7474200000000002,0.847065000000001,0.0
264,1996-01-05,0.679,0.7520000000000002,0.8459100000000009,0.0
265,1996-01-08,0.687,0.7553000000000002,0.8455800000000011,0.0
266,1996-01-09,0.617,0.7538800000000001,0.8441600000000009,0.0
267,1996-01-10,0.607,0.7533200000000001,0.842805000000001,0.0
268,1996-01-11,0.615,0.7523800000000002,0.8418100000000011,0.0
269,1996-01-12,0.634,0.7493600000000002,0.840565000000001,0.0
270,1996-01-15,0.63,0.7460000000000002,0.8395150000000009,0.0
271,1996-01-16,0.624,0.7418600000000002,0.8385200000000009,0.0
272,1996-01-17,0.596,0.7362200000000001,0.8374750000000009,0.0
273,1996-01-18,0.574,0.7296400000000002,0.8366150000000009,0.0
274,1996-01-19,0.706,0.7236800000000002,0.8364300000000009,0.0
275,1996-01-22,0.733,0.7184600000000002,0.8362100000000009,0.0
276,1996-01-23,0.736,0.7150400000000002,0.8364650000000009,0.0
277,1996-01-24,0.774,0.7108000000000003,0.8368200000000009,0.0
278,1996-01-25,0.798,0.7083000000000003,0.8372300000000008,0.0
279,1996-01-26,0.762,0.7059200000000003,0.8365300000000009,0.0
280,1996-01-29,0.976,0.7066200000000002,0.8367650000000009,0.0
281,1996-01-30,0.93,0.7056800000000003,0.8363450000000009,0.0
282,1996-01-31,0.892,0.7046000000000003,0.835760000000001,0.0
283,1996-02-01,0.9,0.7041800000000004,0.8347200000000009,0.0
284,1996-02-02,0.861,0.7043400000000003,0.8337450000000008,0.0
285,1996-02-05,0.902,0.7045400000000002,0.8329400000000008,0.0
286,1996-02-06,0.806,0.7013200000000002,0.8315850000000009,0.0
287,1996-02-07,0.777,0.6998400000000002,0.8306750000000008,0.0
288,1996-02-08,0.743,0.6986400000000004,0.8303700000000007,0.0
289,1996-02-09,0.781,0.6980400000000003,0.8292050000000007,0.0
290,1996-02-12,0.809,0.6956600000000003,0.8281400000000008,0.0
291,1996-02-13,0.792,0.6931000000000003,0.8273750000000009,0.0
292,1996-02-14,0.803,0.6917000000000003,0.8257900000000008,0.0
293,1996-02-15,0.719,0.6872200000000004,0.8243150000000007,0.0
294,1996-02-16,0.731,0.6822400000000005,0.8223250000000007,0.0
295,1996-02-19,0.72,0.6770000000000005,0.8204250000000007,0.0
296,1996-02-20,0.868,0.6771600000000005,0.8192300000000007,0.0
297,1996-02-21,0.878,0.6767400000000005,0.8182650000000007,0.0
298,1996-02-22,0.877,0.6766400000000006,0.8175700000000008,0.0
299,1996-02-23,0.978,0.6815200000000006,0.8169600000000008,0.0
300,1996-02-26,0.985,0.6893400000000005,0.8158100000000009,0.0
301,1996-02-27,1.045,0.7020200000000005,0.8150650000000009,0.0
302,1996-02-28,0.96,0.7096600000000005,0.8144350000000009,0.0
303,1996-02-29,0.927,0.7208200000000005,0.8132750000000009,0.0
304,1996-03-01,0.851,0.7304400000000005,0.8119000000000008,0.0
305,1996-03-04,0.931,0.7419800000000005,0.810855000000001,0.0
306,1996-03-05,1.044,0.7566600000000004,0.810965000000001,0.0
307,1996-03-06,0.996,0.7703200000000003,0.8109550000000012,0.0
308,1996-03-07,0.987,0.7839000000000005,0.8121650000000011,0.0
309,1996-03-08,0.905,0.7925600000000004,0.8133250000000011,0.0
310,1996-03-11,0.883,0.8008800000000005,0.8125250000000012,0.0
311,1996-03-12,0.9,0.8072800000000006,0.8121100000000011,0.0
312,1996-03-13,0.987,0.8123400000000005,0.8111450000000011,1.0
313,1996-03-14,1.014,0.8186000000000005,0.8110100000000011,1.0
314,1996-03-15,1.083,0.8266800000000005,0.8114100000000012,1.0
315,1996-03-18,1.089,0.8347200000000005,0.8121450000000011,1.0
316,1996-03-19,1.115,0.8446800000000007,0.8143700000000013,1.0
317,1996-03-20,0.882,0.8501800000000006,0.8144900000000013,1.0
318,1996-03-21,0.805,0.8539800000000005,0.8137950000000014,1.0
319,1996-03-22,0.894,0.8591800000000005,0.8142300000000015,1.0
320,1996-03-25,0.735,0.8612800000000004,0.8140200000000015,1.0
321,1996-03-26,0.899,0.8667800000000004,0.8142650000000016,1.0
322,1996-03-27,0.934,0.8735400000000004,0.8151900000000016,1.0
323,1996-03-28,0.935,0.8807600000000005,0.8168050000000017,1.0
324,1996-03-29,0.789,0.8824200000000004,0.8167350000000017,1.0
325,1996-04-01,0.865,0.8850600000000006,0.8169450000000016,1.0
326,1996-04-02,0.907,0.8884800000000006,0.8175550000000017,1.0
327,1996-04-03,0.928,0.8915600000000005,0.8185450000000017,1.0
328,1996-04-04,0.931,0.8942200000000003,0.8183750000000017,1.0
329,1996-04-05,1.046,0.8999000000000004,0.8201600000000018,1.0
330,1996-04-08,0.912,0.8986200000000004,0.8203900000000017,1.0
331,1996-04-09,0.71,0.8942200000000003,0.8195650000000018,1.0
332,1996-04-10,0.638,0.8891400000000003,0.8180500000000017,1.0
333,1996-04-11,0.645,0.8840400000000004,0.8172150000000018,1.0
334,1996-04-12,0.641,0.8796400000000004,0.8151050000000017,1.0
335,1996-04-15,0.575,0.8731000000000004,0.8135700000000017,1.0
336,1996-04-16,0.562,0.8682200000000004,0.8115600000000017,1.0
337,1996-04-17,0.503,0.8627400000000004,0.8093950000000016,1.0
338,1996-04-18,0.617,0.8602200000000003,0.8071950000000017,1.0
339,1996-04-19,0.711,0.8588200000000004,0.8046700000000017,1.0
340,1996-04-22,0.698,0.8566000000000004,0.8025950000000017,1.0
341,1996-04-23,0.923,0.8592200000000004,0.8016450000000017,1.0
342,1996-04-24,1.025,0.8636600000000004,0.8018400000000018,1.0
343,1996-04-25,0.899,0.8672600000000004,0.8013650000000019,1.0
344,1996-04-26,0.954,0.8717200000000004,0.8004400000000018,1.0
345,1996-04-29,1.071,0.8787400000000004,0.8012000000000018,1.0
346,1996-04-30,1.073,0.8828400000000003,0.8015450000000018,1.0
347,1996-05-01,0.933,0.8839400000000004,0.8005450000000017,1.0
348,1996-05-02,1.034,0.8870800000000003,0.8009250000000017,1.0
349,1996-05-03,0.931,0.8861400000000001,0.8002800000000018,1.0
350,1996-05-06,0.849,0.8834200000000001,0.7992250000000017,1.0
351,1996-05-07,0.98,0.88212,0.7987200000000017,1.0
352,1996-05-08,0.864,0.8802,0.7978250000000017,1.0
