,date,PE_RATIO,BEST_PE_RATIO,LBUSYW Index,S&P 500,PE_YLD,BEST_PE_YLD,PE_spread,BEST_PE_spread
8829,2014-04-05,17.348,15.8919,0.0239,3363.41,0.05764353239566521,0.06292513796336499,0.033743532395665216,0.039025137963364986
8830,2014-04-06,17.348,15.8919,0.0239,3363.41,0.05764353239566521,0.06292513796336499,0.033743532395665216,0.039025137963364986
8831,2014-04-07,17.1606,15.7247,0.0236,3327.27,0.05827302075685,0.06359421801369819,0.03467302075685,0.03999421801369819
8832,2014-04-08,17.2252,15.7935,0.0235,3340.84,0.05805447832245779,0.06331718745053344,0.03455447832245779,0.03981718745053344
8833,2014-04-09,17.4128,15.9629,0.023399999999999997,3377.61,0.05742901773408068,0.06264525869359577,0.03402901773408068,0.039245258693595776
8834,2014-04-10,17.0496,15.638,0.0229,3307.08,0.058652402402402395,0.0639467962655071,0.03575240240240239,0.0410467962655071
8835,2014-04-11,16.888,15.4987,0.0229,3276.04,0.05921364282330648,0.06452154051630136,0.036313642823306486,0.04162154051630136
8836,2014-04-12,16.888,15.4987,0.0229,3276.04,0.05921364282330648,0.06452154051630136,0.036313642823306486,0.04162154051630136
8837,2014-04-13,16.888,15.4987,0.0229,3276.04,0.05921364282330648,0.06452154051630136,0.036313642823306486,0.04162154051630136
8838,2014-04-14,17.0261,15.6358,0.0231,3302.98,0.0587333564351202,0.0639557937553563,0.035633356435120195,0.04085579375535631
8839,2014-04-15,17.1402,15.7351,0.0231,3325.3,0.05834237640167559,0.06355218587743326,0.03524237640167559,0.04045218587743327
8840,2014-04-16,17.3198,15.9108,0.0233,3360.27,0.05773738726775136,0.06285039092943158,0.034437387267751356,0.03955039092943158
8841,2014-04-17,17.343,15.9368,0.023799999999999998,3365.0,0.0576601510695958,0.0627478540233924,0.033860151069595806,0.0389478540233924
8842,2014-04-18,17.343,15.9368,0.023799999999999998,3365.0,0.0576601510695958,0.0627478540233924,0.033860151069595806,0.0389478540233924
8843,2014-04-19,17.343,15.9368,0.023799999999999998,3365.0,0.0576601510695958,0.0627478540233924,0.033860151069595806,0.0389478540233924
8844,2014-04-20,17.343,15.9368,0.023799999999999998,3365.0,0.0576601510695958,0.0627478540233924,0.033860151069595806,0.0389478540233924
8845,2014-04-21,17.4092,16.006,0.0236,3377.75,0.05744089332077293,0.062476571285767835,0.03384089332077293,0.03887657128576784
8846,2014-04-22,17.4804,16.0614,0.023799999999999998,3391.58,0.05720692890322876,0.062261073131856505,0.03340692890322876,0.03846107313185651
8847,2014-04-23,17.4417,15.9796,0.023399999999999997,3384.5,0.05733386080485273,0.06257978923126988,0.033933860804852736,0.03917978923126988
8848,2014-04-24,17.4715,15.9746,0.023399999999999997,3390.39,0.057236070171422036,0.06259937651020996,0.03383607017142204,0.03919937651020996
8849,2014-04-25,17.3276,15.829,0.0233,3362.95,0.05771139684664928,0.0631751847874155,0.034411396846649275,0.0398751847874155
8850,2014-04-26,17.3276,15.829,0.0233,3362.95,0.05771139684664928,0.0631751847874155,0.034411396846649275,0.0398751847874155
8851,2014-04-27,17.3276,15.829,0.0233,3362.95,0.05771139684664928,0.0631751847874155,0.034411396846649275,0.0398751847874155
8852,2014-04-28,17.3793,15.875399999999999,0.0233,3374.04,0.05753971678951396,0.06299053882106907,0.03423971678951396,0.03969053882106907
8853,2014-04-29,17.4621,15.9491,0.0235,3390.16,0.05726688084480103,0.06269946266560496,0.03376688084480103,0.03919946266560496
8854,2014-04-30,17.5117,15.9966,0.0231,3400.46,0.05710467858631657,0.06251328407286548,0.034004678586316575,0.039413284072865484
8855,2014-05-01,17.4992,15.9761,0.023,3400.2,0.05714546950717748,0.06259349903918979,0.03414546950717748,0.03959349903918979
8856,2014-05-02,17.4747,15.9419,0.023,3395.61,0.05722558899437473,0.06272778025204022,0.03422558899437473,0.03972778025204022
8857,2014-05-03,17.4747,15.9419,0.023,3395.61,0.05722558899437473,0.06272778025204022,0.03422558899437473,0.03972778025204022
8858,2014-05-04,17.4747,15.9419,0.023,3395.61,0.05722558899437473,0.06272778025204022,0.03422558899437473,0.03972778025204022
8859,2014-05-05,17.5031,15.9787,0.0231,3402.23,0.057132736486679506,0.0625833140368115,0.03403273648667951,0.039483314036811504
8860,2014-05-06,17.3456,15.8349,0.023,3371.72,0.05765150816345355,0.06315164604765423,0.034651508163453554,0.040151646047654234
