,date,mfp,d10,d1,d10-d1
129,2016-12-31,qQuality,0.04853333970678552,0.022127971283020513,0.026405368423765008
130,2016-12-31,qSentiment,0.03721156108190187,0.020677267884510197,0.016534293197391674
131,2016-12-31,qValue,0.02887441700971316,0.052369697155836524,-0.023495280146123364
132,2017-01-31,qGrowth,0.026973110110428664,-0.0018089624246502435,0.028782072535078907
133,2017-01-31,qLV,0.036016325620213646,0.01751373917640977,0.018502586443803877
134,2017-01-31,qMO,0.003801944467916689,0.03019243449098267,-0.02639049002306598
135,2017-01-31,qQuality,0.03516309442169292,0.03240843083859636,0.0027546635830965616
136,2017-01-31,qSentiment,0.030175514105723462,0.028184561188714874,0.001990952917008588
137,2017-01-31,qValue,0.01651620988385315,0.039179262770415585,-0.022663052886562434
138,2017-02-28,qGrowth,0.021905986189028347,-0.0035088200187194402,0.02541480620774779
139,2017-02-28,qLV,-0.0006243692388161063,-0.005163914792387571,0.004539545553571465
140,2017-02-28,qMO,0.012957374163479,-0.0036358056183107804,0.016593179781789782
141,2017-02-28,qQuality,0.018123591673616584,-0.02135219412154469,0.03947578579516127
142,2017-02-28,qSentiment,0.022399688036504252,-0.005334607798894917,0.02773429583539917
143,2017-02-28,qValue,0.013910441472106835,0.019551645964141513,-0.005641204492034677
144,2017-03-31,qGrowth,0.020066648280341975,-0.010965299159054682,0.031031947439396655
145,2017-03-31,qLV,0.009444059374603728,-0.0038973459377371076,0.013341405312340834
146,2017-03-31,qMO,0.021815132176733712,0.008632361169966584,0.013182771006767128
147,2017-03-31,qQuality,0.01456267033106776,0.011267426847146149,0.003295243483921611
148,2017-03-31,qSentiment,0.004800481046626982,0.013866807735263895,-0.009066326688636913
149,2017-03-31,qValue,-0.0008353796711111017,0.028229563845700786,-0.029064943516811888
150,2017-04-30,qGrowth,0.03064350878792373,-0.020475271235058677,0.05111878002298241
151,2017-04-30,qLV,0.02062493352779411,-0.008997794715376683,0.02962272824317079
152,2017-04-30,qMO,0.029216610687147704,-0.011543693163565485,0.04076030385071319
153,2017-04-30,qQuality,0.02481762404403663,-0.008565812833753869,0.033383436877790496
154,2017-04-30,qSentiment,0.016592592701256337,0.016360824437655064,0.000231768263601273
155,2017-04-30,qValue,0.010906526366757315,0.042478635141061094,-0.031572108774303775
156,2017-05-31,qGrowth,0.005149810205634202,-0.005088567603890954,0.010238377809525155
157,2017-05-31,qLV,-0.0023202383473243915,0.008485907471955302,-0.010806145819279694
158,2017-05-31,qMO,-0.007109852226728967,0.02050652381852219,-0.027616376045251155
159,2017-05-31,qQuality,-0.011280395590503525,0.032921374004654884,-0.04420176959515841
160,2017-05-31,qSentiment,0.006017598122553828,-0.0067773133120956515,0.012794911434649479
161,2017-05-31,qValue,-0.0020254351905660967,-0.00498751397447825,0.002962078783912153
162,2017-06-30,qGrowth,0.026634271253664323,0.03212274118100167,-0.005488469927337345
163,2017-06-30,qLV,0.013123042894944766,0.03180242471458668,-0.018679381819641912
164,2017-06-30,qMO,0.028670465011976638,0.03097550151479682,-0.002305036502820181
165,2017-06-30,qQuality,0.02625343253655,0.026136469832362747,0.00011696270418725188
166,2017-06-30,qSentiment,0.03827109485980102,0.033149806036673744,0.005121288823127276
167,2017-06-30,qValue,0.0357721330362216,0.04272083431179268,-0.006948701275571081
168,2017-07-31,qGrowth,0.013238220130172293,-0.02029268091423285,0.03353090104440514
169,2017-07-31,qLV,0.003402444462337586,-0.0043814700678640045,0.00778391453020159
170,2017-07-31,qMO,0.006192765726659512,-0.031241038762688095,0.037433804489347605
171,2017-07-31,qQuality,0.022694251255221745,-0.02020099142183431,0.04289524267705605
172,2017-07-31,qSentiment,-0.009107790304256947,-0.0037623057996140014,-0.005345484504642946
173,2017-07-31,qValue,-0.008752468158849567,0.025796594808739064,-0.03454906296758863
174,2017-08-31,qGrowth,0.02400185369712993,0.023365929740178277,0.0006359239569516534
175,2017-08-31,qLV,-0.00031484151539875016,0.05463339739073298,-0.05494823890613173
176,2017-08-31,qMO,0.009480730723836575,0.05637755854866582,-0.04689682782482925
177,2017-08-31,qQuality,0.017017082402432996,0.0397858315935154,-0.0227687491910824
178,2017-08-31,qSentiment,0.013345597026614068,0.027340441307912924,-0.013994844281298857
179,2017-08-31,qValue,0.02269828135143675,0.01767352895007444,0.005024752401362308
180,2017-09-30,qGrowth,0.011464574431664404,0.007744467135802477,0.0037201072958619272
181,2017-09-30,qLV,0.019449165120801103,0.026177194259199933,-0.0067280291383988305
182,2017-09-30,qMO,0.04429144738059141,-0.01193440907919611,0.05622585645978752
183,2017-09-30,qQuality,0.026226546469987042,0.006423661939047897,0.019802884530939147
184,2017-09-30,qSentiment,-0.004520442211813727,0.024963589946378092,-0.029484032158191818
185,2017-09-30,qValue,0.0003302787635334168,0.02445923161235217,-0.024128952848818754
186,2017-10-31,qGrowth,0.008152659508981018,0.020783987733667752,-0.012631328224686733
187,2017-10-31,qLV,0.01808339060088551,0.03644426759892909,-0.01836087699804358
188,2017-10-31,qMO,0.024374070748663875,0.03000509667633336,-0.005631025927669484
189,2017-10-31,qQuality,0.027149903978856985,0.020038883201507977,0.007111020777349007
190,2017-10-31,qSentiment,0.021302279375862446,0.02182902008225904,-0.0005267407063965952
191,2017-10-31,qValue,0.027896501721427283,0.022528419806523155,0.005368081914904128
192,2017-11-30,qGrowth,0.014063865958631424,0.02390482525857799,-0.009840959299946566
193,2017-11-30,qLV,-0.013121693782221553,0.04346202917002343,-0.05658372295224499
194,2017-11-30,qMO,-0.0030845630337799617,0.029985518035165633,-0.03307008106894559
195,2017-11-30,qQuality,0.0049321143444195975,0.013360903476337095,-0.008428789131917497
196,2017-11-30,qSentiment,0.013600726541096265,0.0027252063735384562,0.01087552016755781
197,2017-11-30,qValue,0.040166202276597986,-0.005535401753622898,0.04570160403022088
198,2017-12-31,qGrowth,0.06292179941899978,0.04356876974947966,0.01935302966952012
199,2017-12-31,qLV,0.012342812511940134,0.07993263784651454,-0.0675898253345744
200,2017-12-31,qMO,0.06052390186374734,0.030729106791402044,0.0297947950723453
201,2017-12-31,qQuality,0.06295279516741625,0.04776100237673048,0.015191792790685776
202,2017-12-31,qSentiment,0.06407122605557156,0.05043930839460164,0.013631917660969918
203,2017-12-31,qValue,0.05973529630500532,0.09505424275069028,-0.035318946445684965
204,2018-01-31,qGrowth,-0.033541553641980346,-0.06126045478814245,0.027718901146162107
205,2018-01-31,qLV,-0.05783538453454904,-0.028338031499244482,-0.02949735303530456
206,2018-01-31,qMO,-0.03493072007113889,-0.053536298754505086,0.018605578683366195
207,2018-01-31,qQuality,-0.020078745942178546,-0.043070745001092696,0.02299199905891415
208,2018-01-31,qSentiment,-0.05235444960767135,-0.046705232297910494,-0.005649217309760854
209,2018-01-31,qValue,-0.058968519812916786,-0.014512833549635099,-0.04445568626328169
210,2018-02-28,qGrowth,0.0007781996092948461,-0.021933248743742063,0.02271144835303691
211,2018-02-28,qLV,0.005051156338946531,-0.012539775471959867,0.017590931810906398
212,2018-02-28,qMO,-0.012703067264139308,0.006864454797899693,-0.019567522062039003
213,2018-02-28,qQuality,-0.02337639765005396,-0.01784117656633994,-0.005535221083714018
214,2018-02-28,qSentiment,-0.011878193810739027,-0.00446217676796358,-0.007416017042775447
215,2018-02-28,qValue,-0.004707843551037796,-0.02056492610397257,0.015857082552934776
216,2018-03-31,qGrowth,0.011663932706687155,0.016810881927024613,-0.005146949220337458
217,2018-03-31,qLV,0.006137234458377233,0.008376315068552301,-0.0022390806101750685
218,2018-03-31,qMO,-0.004517931276051479,0.014164223159387807,-0.018682154435439285
219,2018-03-31,qQuality,-0.009694463804179591,-0.004627560718389914,-0.005066903085789678
220,2018-03-31,qSentiment,0.012431947177157895,-0.0015611256991926567,0.013993072876350552
221,2018-03-31,qValue,0.024173882386144693,-0.00578182830383441,0.029955710689979105
222,2018-04-30,qGrowth,0.04465585302183199,-0.0167520811291751,0.06140793415100709
223,2018-04-30,qLV,-0.01695592666776099,0.04955353578281616,-0.06650946245057715
224,2018-04-30,qMO,0.04079104340028078,-0.01838254666423254,0.05917359006451332
225,2018-04-30,qQuality,0.03498259673745152,-0.02971805590083047,0.064700652638282
226,2018-04-30,qSentiment,-0.03715864091675772,0.01882543832551443,-0.05598407924227215
227,2018-04-30,qValue,-0.006474075326009388,0.03129749149251569,-0.03777156681852508
228,2018-05-31,qGrowth,-0.0095392481087897,0.0062767033246487565,-0.015815951433438457
229,2018-05-31,qLV,0.0014488387727888995,0.01499225016642055,-0.01354341139363165
230,2018-05-31,qMO,-0.025740081348689894,0.044792890490418104,-0.070532971839108
231,2018-05-31,qQuality,-0.0073149120148521,-0.0008272856906995382,-0.006487626324152562
232,2018-05-31,qSentiment,-0.0015062213265548542,-0.006910640201835587,0.005404418875280733
233,2018-05-31,qValue,-0.012052825921328295,0.013668428974902872,-0.025721254896231165
234,2018-06-30,qGrowth,0.023491549404194505,0.035699965611317275,-0.01220841620712277
235,2018-06-30,qLV,0.02792113188684493,0.0028460523013038143,0.025075079585541116
236,2018-06-30,qMO,0.014560547576604585,0.043368910750208794,-0.02880836317360421
237,2018-06-30,qQuality,0.030697022154151783,0.03579802184239585,-0.005100999688244064
238,2018-06-30,qSentiment,0.03314144685922238,0.0302507630130508,0.0028906838461715788
239,2018-06-30,qValue,0.01977126702767638,0.013069906320097094,0.006701360707579287
240,2018-07-31,qGrowth,0.00472813543392822,-0.0035876215850201947,0.008315757018948416
241,2018-07-31,qLV,-0.0063630259294843415,0.031066778999925947,-0.03742980492941029
242,2018-07-31,qMO,0.04380448053563619,-0.010505622024150006,0.054310102559786196
243,2018-07-31,qQuality,0.01755238413864227,-0.009178467707231054,0.026730851845873323
244,2018-07-31,qSentiment,-0.01721623099880629,0.013112508395051714,-0.030328739393858002
245,2018-07-31,qValue,-0.007984309452632456,0.08036100746576014,-0.08834531691839259
246,2018-08-31,qGrowth,-0.010802010396577777,0.004198936183288486,-0.015000946579866264
247,2018-08-31,qLV,0.0035465391437387093,-0.016465693587898914,0.020012232731637623
248,2018-08-31,qMO,0.005775026326116622,-0.021219099896094298,0.02699412622221092
249,2018-08-31,qQuality,-0.0015425438563443149,-0.01812758831266196,0.016585044456317644
250,2018-08-31,qSentiment,-0.009793714653052886,0.008855541505310753,-0.018649256158363638
251,2018-08-31,qValue,-0.0009214805874669709,-0.0021388492673259825,0.0012173686798590115
252,2018-09-30,qGrowth,-0.11548181798452861,-0.04403750372425907,-0.07144431426026954
253,2018-09-30,qLV,-0.03143396607056677,-0.10980753590512102,0.07837356983455425
254,2018-09-30,qMO,-0.10169482732235749,-0.07455676720982983,-0.02713806011252766
255,2018-09-30,qQuality,-0.08572873078591696,-0.0566085958353712,-0.02912013495054576
256,2018-09-30,qSentiment,-0.0429484322230991,-0.10296783787213723,0.06001940564903813
